CS1	CS2	group
SRR8119703	1.134381058	-0.417482937	3
SRR8119726	0.679903318	-1.149511517	3
SRR8119729	1.909516928	-2.19221907	3
SRR8119730	0.817444942	-1.51967138	3
SRR8119731	0.965446698	-0.8957065	3
SRR8119756	2.045107616	-1.253173141	3
SRR8119759	2.188991177	-1.719769746	3
SRR8119774	1.183363792	-0.368085445	3
SRR8119775	1.193774957	-0.844089951	3
SRR8119779	1.917724113	-1.890950932	3
SRR8120005	0.909972946	-0.489092771	3
SRR8120006	2.096700256	-1.306105007	3
SRR8120010	1.315945947	-1.497344428	3
SRR8120014	0.565116105	-0.378501005	3
SRR8120028	0.788247603	-1.265665861	3
SRR8120067	1.444157823	-0.089708976	3
SRR8120086	1.254687757	0.183366467	3
SRR8120097	1.994203958	-1.187656081	3
SRR8120193	0.585221615	-0.81181854	3
SRR8120197	0.751999096	-1.42488174	3
SRR8120200	0.924211656	-1.492697229	3
SRR8120201	0.21203918	-1.242011688	3
SRR8120252	1.505895774	-1.338222245	3
SRR8120299	1.041323748	-0.129064062	3
SRR8120306	1.496243851	-0.776107062	3
SRR8120311	0.782894804	-0.21194462	3
SRR8120312	1.048930736	-0.48621057	3
SRR8120358	0.44350668	0.937660784	3
SRR8120373	1.492262661	-0.68940654	3
SRR8120399	0.597889234	-1.28497693	3
SRR8120509	0.749946134	0.024795068	3
SRR8120539	1.393662725	-0.704979055	3
SRR8120639	2.495204951	-1.591505761	3
SRR8120673	1.010100714	-0.026473264	3
SRR8120675	1.522526121	-0.865895329	3
SRR8120737	2.015817672	-1.52799515	3
SRR8120750	1.383118653	-1.25705333	3
SRR8120853	1.908064555	-1.039451377	3
SRR8120877	1.188025029	0.225572529	3
SRR8120888	1.347323729	-0.589625857	3
SRR8120958	2.063174015	-1.190312804	3
SRR8120959	1.796920375	-1.487390278	3
SRR8120962	1.96308291	-1.242551184	3
SRR8120967	2.431173502	-2.401874058	3
SRR8115665	1.993151148	-1.954658868	3
SRR8115692	1.879226688	-1.641725003	3
SRR8115779	0.722886901	0.553491233	3
SRR8115856	1.592288557	-1.168180949	3
SRR8115860	1.134727479	-1.14529962	3
SRR8115896	1.279864992	-1.416579866	3
SRR8116000	2.144966662	-1.93213027	3
SRR8116040	2.401830566	-2.172031813	3
SRR8116041	2.515655388	-2.148160731	3
SRR8116093	1.803517248	-1.865791086	3
SRR8116100	1.466591335	-0.479069929	3
SRR8116152	0.597213855	-0.967100859	3
SRR8116324	1.588003605	-0.536805871	3
SRR8116338	0.313655025	-0.577495324	3
SRR8116339	1.662368618	-0.725960816	3
SRR8116340	1.359070621	-0.612737177	3
SRR8116382	0.446484187	-0.755873863	3
SRR8116426	1.503666556	-1.236482954	3
SRR8116428	0.361716701	-0.787489436	3
SRR8116452	2.022324604	-1.711876576	3
SRR8117082	1.993151148	-1.954658868	3
SRR8117092	0.313655025	-0.577495324	3
SRR8117093	1.662368618	-0.725960816	3
SRR8117182	1.279864992	-1.416579866	3
SRR8117202	1.588003605	-0.536805871	3
SRR8117219	1.592288557	-1.168180949	3
SRR8117223	1.134727479	-1.14529962	3
SRR8117237	1.466591335	-0.479069929	3
SRR8117238	1.359070621	-0.612737177	3
SRR8117243	1.803517248	-1.865791086	3
SRR8118511	1.920413164	-0.783546885	3
SRR8118517	1.487121789	-0.802714534	3
SRR8118557	1.270635236	-1.265092101	3
SRR8118576	1.345626777	-1.087925044	3
SRR8118648	1.705507855	-0.931158681	3
SRR8118649	0.349632781	-1.046402538	3
SRR8118655	1.965822445	-1.709606509	3
SRR8118867	0.584888297	-0.619849978	3
SRR8118900	0.708965655	-1.346232897	3
SRR8118905	0.450187149	-1.327647133	3
SRR8118936	1.360313892	-1.054741714	3
SRR8118953	1.84007498	-1.891419755	3
SRR8118968	1.369366098	-0.456554023	3
SRR8118972	1.670026728	-1.574140874	3
SRR8119075	1.858263255	-1.664795161	3
SRR8119088	1.006533036	-0.497538224	3
SRR8119090	1.473951129	-1.90181689	3
SRR8119099	2.520990949	-2.20161583	3
SRR8119164	1.681837909	-1.856320457	3
SRR8119183	1.636155253	-0.789848523	3
SRR8119218	1.382902181	-1.517011523	3
SRR8119228	0.913082331	-0.880492915	3
SRR8119388	1.169509015	-0.647124737	3
SRR8119392	0.962329806	-1.254126135	3
SRR8119393	1.088496084	-1.564302078	3
SRR8119454	1.043351229	-1.460722081	3
SRR8119490	1.635383446	-2.241904948	3
SRR8119495	1.54204448	-1.586861204	3
SRR8119526	2.137978943	-2.323465323	3
SRR8119528	2.031900679	-2.27532912	3
SRR8119665	1.505899832	-1.416367018	3
SRR8119715	1.114035814	-0.575559514	3
SRR8119732	2.139703961	-1.873009028	3
SRR8119776	1.565877596	-0.533923424	3
SRR8120011	0.950893734	-1.386972286	3
SRR8120013	1.726386575	-1.340613535	3
SRR8120060	1.630293898	-1.408175323	3
SRR8120085	0.874442935	-0.897332687	3
SRR8120219	2.376808604	-2.129144231	3
SRR8120251	0.910089226	-1.177575252	3
SRR8120322	0.604887494	-0.013579686	3
SRR8120380	1.911876817	-1.215851259	3
SRR8120406	1.684549189	-0.562404253	3
SRR8120441	1.199694978	-1.231097091	3
