ID	CS1	CS2	CS3	group
ERR3018163	-2.856680005	0.029130311	-2.035710435	2
ERR3018164	-2.725052954	0.113319474	-3.10124666	2
ERR3018208	-2.157504299	0.800653197	2.378553674	2
ERR3018209	-2.118461412	0.724428918	-0.62460328	2
ERR3018210	-1.925287395	0.751503503	1.337202199	2
ERR3018211	-2.14757099	0.723333095	-0.069951408	2
ERR3018213	-2.225284269	0.755655611	0.749334228	2
ERR3018214	-2.263330734	0.66203976	0.382621592	2
ERR3018215	-4.584444132	0.180313358	1.967763795	2
ERR3018216	-1.73896492	0.704459761	0.148604796	2
ERR3018262	-2.244137094	0.726127574	1.647883801	2
ERR3018263	-3.002118196	0.519709231	-0.055223227	2
ERR3018264	-2.489582352	0.668224942	0.941107151	2
ERR3018265	-4.962681567	0.04391814	-2.771602371	2
ERR3018267	-2.832596137	0.45736516	0.470631216	2
ERR3018268	-4.059920656	0.075335543	-1.632384269	2
ERR3018269	-4.977498142	-0.002282561	-2.731166728	2
ERR3018270	-3.394670634	0.270484404	-1.616158965	2
ERR3018271	-3.940449603	-0.627432742	-4.570767106	2
ERR3018272	-4.161807299	0.040465053	-1.28071236	2
ERR3018318	-2.608656997	-1.266589481	-3.023014687	2
ERR3018319	-1.904830102	-0.934338812	0.861469763	2
ERR3018320	-3.341411728	-0.922215744	-3.118084351	2
ERR3018321	-3.426904848	-0.247675527	-2.668610674	2
ERR3018322	-3.761249018	0.620576852	0.549748693	2
ERR3018324	-2.440287569	-2.480474233	-1.492852598	2
ERR3018325	-1.549481354	-0.5096121	-1.552846538	2
ERR3018326	-2.810137771	0.240201558	-0.682861591	2
ERR3018327	-2.122129298	-0.967504906	-0.807284445	2
ERR3018328	-2.703742803	0.225256098	0.467345599	2
ERR3018373	-2.610302956	0.215282669	1.484909608	2
ERR3018374	-3.542146638	0.52084627	0.125765895	2
ERR3018375	-2.634016502	0.811422649	2.418633336	2
ERR3018376	-3.461336425	0.529862339	-0.474374402	2
ERR3018378	-2.585177756	0.057473337	1.678690389	2
ERR3018379	-3.101728386	0.466176367	0.968458823	2
ERR3018380	-2.395950983	0.090982514	2.382275252	2
ERR3018381	-2.305708112	-2.13375939	-1.299806914	2
ERR3018425	-2.876759777	0.956201272	2.425807547	2
ERR3018426	-2.072602045	0.74554584	2.489778962	2
ERR3018427	-2.222122831	0.250195384	-4.041164512	2
ERR3018428	-4.454308659	0.125713018	-2.98815355	2
ERR3018429	-4.020080715	-0.422233943	-2.283500938	2
ERR3018431	-3.46611633	-0.831678896	-0.823623666	2
ERR3018432	-3.249029891	-0.096580279	-0.230911371	2
ERR3018433	-1.288769571	-5.322110653	0.64742617	4
ERR3018479	-4.292642939	0.544016815	0.012705812	2
ERR3018480	-3.996495657	0.167773004	-1.169224075	2
ERR3018481	-1.651390751	-0.933710035	-1.49353627	2
ERR3018483	-1.746256704	-1.628870159	-2.182130978	2
ERR3018484	-3.567502327	-3.864921566	-3.754813927	2
ERR3018485	-3.897309401	0.581578373	1.344814887	2
ERR3018486	-1.904361877	-1.05619255	-1.810886292	2
ERR3018487	-3.712879996	0.042051356	-0.443087531	2
ERR3018488	-2.77850591	-0.524098923	-2.311647486	2
ERR3018489	-2.134340049	-1.903445223	-0.71866692	2
ERR3018524	-2.368612577	0.245833049	-2.221895465	2
ERR3018525	-3.914556378	-0.52046444	-4.495008248	2
ERR3018526	-3.725232711	-0.0200452	-1.643766458	2
ERR3018527	-3.03631964	0.249124093	1.268390565	2
ERR3018528	-2.883193118	0.066438653	-0.066829421	2
ERR3018530	-2.541842832	0.837011243	2.667970085	2
ERR3018531	-2.695412531	0.761782144	1.895844209	2
ERR3018532	-2.699614749	0.615743859	0.374249667	2
ERR3018533	-2.180220767	0.884532081	3.229385912	2
ERR3018534	-2.034183604	0.864368199	3.596055399	2
ERR3018582	-2.411200334	0.194934504	-0.930486939	2
ERR3018583	-3.147369853	-1.827964284	-2.716696839	2
ERR3018584	-2.24888779	0.305233699	0.820945352	2
ERR3018585	-3.141853927	0.690431567	0.343251707	2
ERR3018586	-3.562591628	0.139030855	-1.039931474	2
ERR3018588	-4.751866211	0.271827387	-3.094625701	2
ERR3018589	-2.392767654	0.403236101	0.937509067	2
ERR3018590	-3.155965378	0.150244353	-0.987990789	2
ERR3018591	-4.366744425	-0.407504697	-2.670604753	2
ERR3018592	-3.933302249	0.10734617	-1.990291799	2
ERR3018593	-6.005088483	-0.200146863	-6.859205824	2
ERR3018640	-1.796865748	0.120679329	-1.010190982	2
ERR3018641	-2.630314957	0.755312462	0.661973039	2
ERR3018642	-2.834686187	0.742174042	0.748439275	2
ERR3018643	-3.741099486	0.005745711	-1.175073416	2
ERR3018645	-3.170150509	0.541558077	0.669417171	2
ERR3018646	-2.147275841	-0.398329455	-1.517719239	2
ERR3018647	-2.368633385	0.352160275	1.30375065	2
ERR3018693	-2.089618311	0.880350338	3.541878624	2
ERR3018694	-2.591928232	-0.306233201	-2.556049411	2
ERR3018695	-2.577605305	-0.084436732	2.080190491	2
ERR3018696	-2.139106419	0.747391228	3.07098944	2
ERR3018697	-3.561601174	-0.161282887	1.056243578	2
ERR3018699	-4.43884242	-0.769467719	3.111402679	2
ERR3018700	-2.640090096	0.328686797	0.699783634	2
ERR3018701	-2.110777057	0.741980698	3.077351957	2
ERR3018702	-2.936251049	0.436825511	1.152563951	2
ERR3018703	-2.065119094	0.855991393	3.200281803	2
ERR3018704	-3.19893375	0.080654929	-1.859983759	2
ERR3018752	-2.653680975	0.667291521	1.158459564	2
ERR3018753	-4.631303196	0.386688433	-2.301449548	2
ERR3018754	-3.628644343	0.805899046	1.200193042	2
ERR3018755	-3.379044139	0.367968412	0.601415756	2
ERR3018756	-2.337909843	0.504346915	1.519885036	2
